Place,Division,Flood_Frequency,Last_Major_Flood_Year,Notes,Primary_Sources,Latitude,Longitude
Bogra,Rajshahi Division,Medium,2017,Riverine floods in Bogra district reported in national flood years.,FFWC Annual Reports,24.849,89.3677
Dinajpur,Rangpur Division,Medium,2017,Affected by monsoon and river overflow; district-level events recorded.,District flood reports,25.625,88.65
Satkhira,Khulna Division,High,2024,"Coastal/southwest zone — tidal, storm surge and riverine flooding are significant.",Coastal flood studies; FFWC,22.7234,89.0751
Cox's Bazar,Chittagong,High (coastal/flash),2021/2024,"Coastal flooding, storm surge and monsoon flash floods; recent severe events and landslides.",ThinkHazard; FloodList; BMD advisories,21.4272,92.0058
Nagarpur,Dhaka Division,Medium,2017,Flooding linked to monsoon river overflow; district records show periodic inundation.,FFWC; local reports,,
Sirajganj,Rajshahi Division,High,2017,On Jamuna river — a historically highly flood-prone district with frequent riverine floods.,BWDB; FFWC reports,24.449,89.717
Comilla,Chittagong,Medium-High,2017,Meghna/tributary influenced; periodic large floods.,FFWC; local flood studies,23.45,91.1999
Rajshahi,Rajshahi Division,Medium,2019,Western Bangladesh with seasonal flooding; moderate risk compared to north-east/coastal zones.,District reports; research articles,24.3745,88.6042
Shahzadpur,Rajshahi Division,Medium,2017,Upazila-level flooding reported during major monsoon years.,District/Upazila reports,24.297,89.733
Jessore,Khulna Division,Medium-High,2024,Southwest region — tidal and river flooding plus drainage congestion.,Coastal flood studies; BWDB,23.1707,89.2124
Chittagong,Chittagong,High,2021/2024,"Port city subject to heavy monsoon rains, urban floods and landslides in hillsides.",FloodList; local news reports,22.3419,91.8155
Sonargaon,Dhaka Division,Medium,2017,Near Meghna river; periodic inundation and historic flood records.,FFWC; ICIMOD,23.5636,90.8289
Pabna,Rajshahi Division,Medium,2017,Affected by river floods in Jamuna/Padma basin areas.,District reports,24.0064,89.2493
Faridpur,Dhaka Division,Medium-High,2017,Padma/tributary influenced — recurring riverine floods.,FFWC,23.607,89.8429
Bandarban,Chittagong,High (flash/landslide),2021/2024,Hilly area with flash floods and landslides during intense monsoon rains.,Local reports; Reuters/UN,22.194,92.218
Tangail,Dhaka Division,Medium,2017,Flooding from Jamuna-related overflow and heavy monsoon rains.,District reports,24.25,89.9167
Bagerhat,Khulna Division,Medium-High,2019,Coastal/inland mix — tidal influence and river flooding.,Coastal flood studies,22.65,89.7667
Nawabganj,Rajshahi Division,Medium,2017,North-west flood episodes recorded during major floods.,District reports,24.5,88.3333
Khulna,Khulna Division,High,2024,Coastal/tidal flooding and drainage congestion lead to frequent inundation in parts of the city.,Coastal flood studies; FFWC,22.8167,89.55
Narayanganj,Dhaka Division,High,2017/2024,Industrial riverside city near Dhaka — frequent riverine/urban flooding.,World Bank; local reports,23.6226,90.501
Mohammadpur,Rajshahi Division,Unknown,,"Ambiguous (Mohammadpur is also a Dhaka locality); if Rajshahi Mohammadpur, need clarification.",,24.727,88.921
Par Naogaon,Rajshahi Division,Medium,2017,Naogaon district experiences seasonal river floods.,District reports,24.8167,89.3667
