upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations,Latitude,Longitude
Barhatta,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.9195310938897,90.8853425568081
Barisal Sadar (Kotwali),Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7133847774876,90.3942002506857
Barkal,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.845224931315,92.3445909533975
Barlekha,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.7081502343557,92.1755786579712
Barura,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.3556922452956,91.0394222063664
Basail,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.2311418836779,90.0394062819606
Batiaghata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.714189073776,89.5160774706489
Bauphal,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4353440588917,90.5390114366358
Bayejid Bostami,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4192413857,91.8078499854202
Beani Bazar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.8488819531008,92.1588877458712
Begumganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9306386491459,91.0952648126695
Belabo,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.0985187970065,90.8493360971204
Belai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.3023985529526,92.4854073385279
Belkuchi,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.2951627945494,89.7020806528814
Bera,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.9422585759764,89.6560065689999
Betagi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3471193744115,90.1480649309626
Bhairab,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.0973841730149,90.981549574316
Bhaluka,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.381699756769,90.3535508827061
Bhandaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.454189258862,90.0215519381684
Bhanga,Young Ganges River Floodplain,65-95,Medium,Recent floodplain deposits. Soft soils with moderate compressibility.,23.386742626544,90.0097701127248
Bhangura,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.2392539599064,89.3927258151363
Bhedarganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2383480737574,90.5138908517683
Bheramara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.0568808998342,88.9816442968879
Bhola Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.6887123042742,90.6151225338806
Bholahat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8962312116754,88.2097040407461
Bhuapur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.4765164338264,89.8142521625003
Bhurungamari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.1167170768519,89.6903480780209
Bijoynagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.9943118525386,91.2280989817613
Biman Bandar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8475068726665,90.4059498331747
Biral,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.6467440443675,88.5476238604242
Birampur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.379084310191,88.9635655265753
Birganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9279409227226,88.6266936415752
Bishwambarpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.1097612998744,91.3150451244532
Bishwanath,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.8350327719683,91.7292039253237
Boalia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3778589077272,88.6131770640711
Boalkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3767815979026,91.9689799272073
Boalmari,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4044848206447,89.6970391207566
Bochaganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.785841322874,88.4535278424563
Boda,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.2306453278483,88.6126463661165
Bogra Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8955417160062,89.3556948259744
Brahman Para,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.6451625818434,91.0966299533476
Brahmanbaria Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.9505252101208,91.1189565370704
Burhanuddin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.4828866652508,90.7185074420683
Burichang,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.5336448637706,91.1170066713946
Cantonment,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8144761762393,90.3998004873007
Chak Bazar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7170160114457,90.3937098985126
Chakaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.7402150638174,92.052398042713
Chandanaish,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2121171131712,92.0632925813426
Chandgaon,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3876373884204,91.8649273200439
Chandina,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.4459373632385,90.9465158929358
Chandpur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2303209257204,90.685290565272
Char Bhadrasan,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5924938644608,89.978037666983
Char Fasson,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.0859806845631,90.7053188183053
Char Rajibpur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.4432700810417,89.7638663115164
Charghat,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.3000845283311,88.775377952143
Chatkhil,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0538219113328,90.9637856246452
Chatmohar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.2250734914967,89.3020268117365
Chauddagram,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.220018927809,91.2804348233125
Chaugachha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.2636328780832,89.0218172140426
Chauhali,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.1361286084176,89.7566375414581
Chhagalnaiya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0168643103886,91.5069957497068
Chhatak,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.943847745045,91.615504309066
Chilmari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.5662543442929,89.7183845672816
Chirirbandar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.6653456782518,88.7863779840161
Chitalmari,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8123373695752,89.8653089878986
Chittagong Port,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3083565860156,91.7858605074386
Chuadanga Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5887440156773,88.8845854424121
Chunarughat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.1816419703724,91.5173537572402
Comilla Adarsha Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.4697940966327,91.1711472664152
Comilla Sadar Dakshin,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.3579428543132,91.1833428415877
Companiganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7701007041434,91.2819850145212
Companiganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",25.0796782328475,91.7734131902889
Companiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",22.7701007041434,91.2819850145212
Companiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.0796782328475,91.7734131902889
Cox's Bazar Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.5055975482083,92.0346428054318
Dacope,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3888242778872,89.5186178565416
Daganbhuiyan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9705378972714,91.2996993741138
Dakshin Sunamganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.9125336569303,91.4107099140532
Dakshin Surma,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.8160915581084,91.8769873150226
Dakshinkhan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8612389976761,90.4250134373272
Damudya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.1368144876481,90.4216559262838
Damurhuda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5931835336194,88.7404767590297
Darus Salam,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.784055268665,90.3451505208491
Dashmina,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2642844940591,90.5490393297586
Daudkandi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.5025907995416,90.7731215242952
Daulatkhan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.6115751293543,90.7072787191595
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.9557499994227,89.7976787643194
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,22.8750898086047,89.5091740344779
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.0272123604029,88.8392533341102
Daulatpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.9557499994227,89.7976787643194
Daulatpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8750898086047,89.5091740344779
Daulatpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",24.0272123604029,88.8392533341102
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.9557499994227,89.7976787643194
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,22.8750898086047,89.5091740344779
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.0272123604029,88.8392533341102
Debhata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5973281257717,89.0152594272962
Debidwar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.5783257790037,90.9978501293967
Debiganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.1320257892077,88.7194505102224
Delduar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.142004559036,89.9376765644424
Demra,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7244499351868,90.4810443746878
Derai,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.7874959928419,91.336034146016
Dewanganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.2633979127017,89.7659586830907
Dhamoirhat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.130413118963,88.822954421111
Dhamrai,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.9370558215104,90.1414981359793
Dhanbari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.6867146275454,89.9333161381875
Dhanmondi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7451243255756,90.3736043707065
Dharampasha,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.0107355790586,91.0407701194229
Dhobaura,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.1011128318899,90.5249160965518
Dhunat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.6825199159351,89.5503256660178
Dhupchanchia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8836839814351,89.1391310832347
Dighalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9250111687397,89.5600610022391
Dighinala,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,23.3991257750712,92.0499229122403
Dimla,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.172014221734,88.9726156654141
Dinajpur Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.6079928419228,88.6773153912385
Dohar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.600875506574,90.1093607780619
Domar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.1585079360006,88.8252452501438
Double Mooring,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3302344150454,91.8091912790476
Dowarabazar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.0717549024306,91.5625483944152
Dumki,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4504061378146,90.3718724597901
Dumuria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8053702188764,89.3980207534845
Durgapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.0896205869635,90.6820730483002
Durgapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.4667364186035,88.7601291132097
Durgapur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0896205869635,90.6820730483002
Durgapur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4667364186035,88.7601291132097
Fakirhat,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.7423829759689,89.6656890812422
Faridganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.1462681971801,90.7609509048263
Faridpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.1606665779837,89.4488642856143
Faridpur Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.6047146629631,89.816493227616
Fatikchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.756293771322,91.7473078319127
Fenchuganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.6937920266424,91.9617785077257
Feni Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9899728845128,91.4159006550706
Fulbari,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.4701562652729,88.9018380496507
Fulbaria,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.586491800212,90.2545068659034
Fulchhari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.2543756464076,89.6539428060374
Fulgazi,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.1179845509884,91.4425119668709
Gabtali,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8867615651926,89.4649935436559
Gaffargaon,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.3935274886183,90.5495342576239
Gaibandha Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.349744568291,89.5666239904103
Galachipa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.0530598402881,90.4507961624833
Gangachara,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.874218930665,89.1934048665964
Gangni,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8577201766342,88.771178146969
Gauripur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.7560067998278,90.5858813780719
Gaurnadi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9663551926687,90.2446917273271
Gazaria,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.5471964661069,90.6297419749551
Gazipur Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.0140552001429,90.396215414407
Gendaria,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7066719884187,90.4225017941723
Ghatail,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.4735181071633,90.0515720462684
Ghior,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8733457276983,89.9044444601468
Ghoraghat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.2842498601193,89.214323351604
Goalandaghat,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7563470273691,89.7661051315666
Gobindaganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.1571078509904,89.3691638154393
Godagari,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.4834457251385,88.414719225927
Golabganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.811987383854,92.0169878564418
Gomastapur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8569418519449,88.3550162424363
