upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations
Faridpur Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Fatikchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Fenchuganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Feni Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Fulbari,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Fulbaria,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Fulchhari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Fulgazi,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Gabtali,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Gaffargaon,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Gaibandha Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Galachipa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Gangachara,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Gangni,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Gauripur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Gaurnadi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Gazaria,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Gazipur Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Gendaria,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Ghatail,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Ghior,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Ghoraghat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Goalandaghat,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Gobindaganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Godagari,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Golabganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Gomastapur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Gopalganj Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Gopalpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Gosairhat,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Gowainghat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Gulshan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Gurudaspur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Habiganj Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Haim Char,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Hajiganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Hakimpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Halishahar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Haluaghat,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Harinakunda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Haripur,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Harirampur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Hathazari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Hatibandha,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Hatiya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Hazaribagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Hizla,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Homna,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Hossainpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Ishwardi,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Ishwarganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Islampur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Itna,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Jagannathpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Jaintiapur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Jaldhaka,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Jamalganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Jamalpur Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Jatrabari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Jhalokati Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Jhenaidah Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Jhenaigati,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Jhikargachha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Jiban Nagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Joypurhat Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Jurai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Juri,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Kabirhat,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Kachua,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Kachua,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kadamtali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kafrul,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kahaloo,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Kaharole,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Kala Para,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kalabagan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kalai,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Kalaroa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kalia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kaliakair,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kaliganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kaliganj,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kaliganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kaliganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Kalihati,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kalkini,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Kalmakanda,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kalukhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kamalganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Kamalnagar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Kamarkhanda,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Kamrangir Char,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kanaighat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Kanthalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kapasia,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kaptai,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Karimganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Kasba,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
